
"run.number","filename","classI","classII","classIIIa","classIIIb","mountain","probability.grow","probability.death","probability.attack","tribute","probability.fragment","moving.distance","conquering.area","placement.distance","links","labels","step","average.hierarchy","social.circumscription","environmental.circumscription","count.villages","etla-population","etla-hierarchy","tlac-population","tlac-hierarchy","ocot-population","ocot-hierarchy"
"3","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","12","3.2857142857142856","0.25","0.625","28","17","3.235294117647059","3","4.666666666666667","8","2.875"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","5","2.5357142857142856","0.23214285714285715","0.6696428571428571","28","14","2.5","10","2.6","4","2.5"
"11","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","3","1.6666666666666667","0.23809523809523808","0.6309523809523809","21","10","1.7","4","1.75","7","1.5714285714285714"
"5","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.607142857142857","0.23214285714285715","0.6696428571428571","28","14","2.642857142857143","10","2.6","4","2.5"
"8","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.72","0.25","0.63","25","13","2.8461538461538463","7","2.142857142857143","5","3.2"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","2.5652173913043477","0.22826086956521738","0.6847826086956522","23","12","3","5","2","6","2.1666666666666665"
"4","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","2.7419354838709675","0.25","0.6612903225806451","31","10","3.4","9","2.3333333333333335","12","2.5"
"9","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","9","2.608695652173913","0.22826086956521738","0.6847826086956522","23","12","3","5","2.2","6","2.1666666666666665"
"1","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","8","4","0.21428571428571427","0.6666666666666666","21","7","4.714285714285714","8","4.375","6","2.6666666666666665"
"10","""LandTypesBW3.jpg""","100","60","20","10","0","0.1","0.01","1","0.1","0.01","10","10","10","false","false","6","2.7333333333333334","0.25","0.6333333333333333","30","14","2.9285714285714284","6","2","10","2.9"
